개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,총직원수,축산업무구분명,축산일련번호,최종수정시점
6410000,641000000520090001,2009-03-04,,폐업,2016-04-28,,,,3048.7,413-871,,농업회사법인 주식회사 자연일가,I,L00,2025-12-15 16:15:28,경기도 파주시 법원읍 자운서원로 410-6,폐업,0002,03,0319587339,186412.818311172    ,484673.643917003    ,경기도 파주시 법원읍 동문리 619번지 23호 1통 5반 ,0,도축업,,2016-04-28 08:46:07
6410000,641000000520060001,2006-10-23,,폐업,2008-09-05,,,,1782,413-871,,참진오리,I,000,2025-12-15 16:15:28,경기도 파주시 법원읍 자운서원로 410-6,폐업,0002,03,0319598500,186412.818311172    ,484673.643917003    ,경기도 파주시 법원읍 동문리 619번지 23호 1통 5반 ,25,도축업,,2009-01-09 08:43:19
6410000,641000000519990002,1999-01-01,,폐업,2012-05-25,,,,3954.92,483-100,,우림축산(주),I,L00,2025-12-15 16:15:28,,폐업,0002,03,0318680104,,,경기도 동두천시 상봉암동  146-17외 1필지 ,0,도축업,,2012-05-21 12:38:34
6410000,641000000519980003,1998-12-18,,폐업,2011-12-26,,,,2566.49,413-865,,동궁산업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 파주시 파주읍 파주리 786-5번지 외 3필지 ,0,도축업,,2011-12-26 17:21:45
6410000,641000000519890002,1989-05-22,,폐업,2018-08-18,,,,9662,415-871,,(주)크레치코,I,L00,2025-12-15 16:15:28,경기도 김포시 월곶면 비석동로50번길 109,폐업,0002,03,0319878152,162443.00166131     ,467250.002879654    ,경기도 김포시 월곶면 갈산리 140번지 2호 ,0,도축업,,2018-08-14 10:24:45
6410000,641000000519860001,1986-05-21,,폐업,2024-03-01,,,,5936,449-923,,농업회사법인 주식회사 대마,I,L00,2025-12-15 16:15:28,경기도 용인시 처인구 경안천로 214-2 (고림동),폐업,0002,03,0313368900,219222.364901657    ,416468.155103439    ,경기도 용인시 처인구 고림동  676번지 1호 ,0,도축업,,2024-03-28 09:01:30
6410000,641000000519820003,2004-08-12,,폐업,2010-07-07,,,,1780.67,464-872,,(주)대조,I,L00,2025-12-15 16:15:28,,폐업,0002,03,0317983427,,, 80번지 ,0,도축업,,2010-08-09 11:18:49
6410000,641000000519820001,1982-03-04,,폐업,2008-02-29,,,,5810,467-866,,농업회사법인 신영축산(주),I,L00,2025-12-15 16:15:28,,폐업,0002,03,0316365000,,,경기도 이천시 부발읍 아미리 660-1 ,0,도축업,,2008-10-14 10:12:18
6410000,641000000519790001,1979-12-10,,폐업,2009-07-31,,,,6811,441-350,,신원(주),I,L00,2025-12-15 16:15:28,,폐업,0002,03,0312937803,,,경기도 수원시 권선구 오목천동  788-1번지 ,0,도축업,,2009-09-29 13:05:15
6410000,641000000519980001,1998-12-18,,영업/정상,,,,,3766.51,,,포천농축산(주),I,L00,2025-12-15 16:15:28,경기도 포천시 신북면 중앙로461번길 25,정상,0000,01,0315338880,219194.135275483    ,491720.045906673    ,경기도 포천시 신북면 신평리 647번지 8호 ,0,도축업,,2022-06-27 13:39:45
6410000,641000000519960001,1996-12-12,,영업/정상,,,,,14854.31,456-913,,주식회사 도드람엘피씨,I,L00,2026-01-12 09:41:07,경기도 안성시 일죽면 일생로 185-11,정상,0000,01,03180563300,,,경기도 안성시 일죽면 금산리 598번지 ,0,도축업,,2025-09-19 18:32:48
6410000,641000000519890003,2005-08-22,,영업/정상,,,,,22298.84,445-976,,(주)한강식품,I,000,2025-12-15 16:15:28,경기도 화성시 만년로969번길 17 (안녕동),정상,0000,01,0312266000,,,경기도 화성시 안녕동  146번지 123호 ,0,도축업,,2022-09-15 17:12:07
6410000,641000000519820002,1982-10-28,,영업/정상,,,,,3079.68,445-896,,에비앙푸드 주식회사,I,L00,2026-01-12 09:41:07,경기도 화성시 봉담읍 효행로20번길 16-32,정상,0000,01,0312912591,195993.717885405    ,415493.782022047    ,경기도 화성시 봉담읍 수영리 387번지 1호 ,0,도축업,,2025-05-08 18:08:39
6410000,641000000519800002,1980-09-11,,영업/정상,,,,,7028,450-090,,(주)평농,I,000,2025-12-15 16:15:28,경기도 평택시 칠괴길 25 (지제동),정상,0000,01,0316561995,,,경기도 평택시 지제동  233번지 1호 ,0,도축업,,2022-03-04 17:27:32
6410000,641000000520020001,2002-12-03,,휴업,,2021-05-11,2030-05-09,,3712,476-802,,농업회사법인 주식회사 탑오리,I,L00,2025-12-15 16:15:28,경기도 양평군 양평읍 곰덕우물길 22-1,휴업,0001,02,0317746000,243144.555068219    ,444483.478955456    ,경기도 양평군 양평읍 양근리 28번지 2호 ,0,도축업,,2024-05-21 21:45:18
6410000,641000000519990001,1999-01-12,,영업/정상,,,,2022-11-19,1897.21,482-170,,(주)청정계,U,L00,2026-01-17 21:00:40,경기도 양주시 평화로 1600 (회정동),정상,0000,01,0318592121,205118.98962727     ,481215.754308257    ,경기도 양주시 회정동  170번지 5호 ,0,도축업,,2026-01-16 09:41:53
6410000,641000000519980002,1998-09-24,,휴업,,2022-01-29,2027-12-31,,1910.27,472-831,,주식회사 친환경 명품축산,I,L00,2026-01-12 09:41:07,경기도 남양주시 진건읍 금강로361번길 50,휴업,0001,02,0315721226,213368.905649666    ,460064.019783481    ,경기도 남양주시 진건읍 진관리 931번지 3호 ,0,도축업,,2025-04-28 19:22:39
6410000,641000000519890001,1989-11-03,,휴업,,,,,5546,415-070,,주식회사 우석에프앤비,I,L00,2026-01-12 09:41:07,경기도 김포시 승가로 71 (풍무동),휴업,0001,02,0319837788,174839.121864705    ,455945.469507961    ,경기도 김포시 풍무동  661번지 8호 ,0,도축업,,2025-01-10 08:34:36
6410000,641000000519750001,1975-05-28,,영업/정상,,,,,5604,464-875,,우진산업,I,000,2025-12-15 16:15:28,경기도 광주시 곤지암읍 광여로 200-18,정상,0000,01,0317626090,232391.040330643    ,427629.223562195    ,경기도 광주시 곤지암읍 열미리 502번지 4호 ,0,도축업,,2021-03-25 21:49:19
6410000,641000000519720001,1972-05-11,,영업/정상,,,,,12753.98,430-849,,(주)협신식품,I,L00,2025-12-15 16:15:28,경기도 안양시 만안구 박달로 298 (박달동),정상,0000,01,0314479001,,,경기도 안양시 만안구 박달동  692번지 9호 ,0,도축업,,2024-10-24 17:06:08
6410000,641000000519990003,1999-01-09,,영업/정상,,,,,3667.55,487-911,,농업회사법인정우식품주식회사,I,L00,2026-01-12 09:41:07,경기도 포천시 신북면 중앙로 378,정상,0000,01,0315337731,218878.406474399    ,490699.599485742    ,경기도 포천시 신북면 가채리 295번지 1호 ,0,도축업,,2025-08-22 13:05:03
6410000,641000000520000001,2000-02-23,,영업/정상,,,,,8957.72,421-808,,농협경제지주주식회사 부천축산물공판장,I,000,2026-01-12 09:41:07,경기도 부천시 오정구 송내대로518번길 71 (삼정동),정상,0000,01,0326205000,179136.025905573    ,447578.815394323    ,경기도 부천시 오정구 삼정동  12번지 4호 ,0,도축업,,2025-03-17 09:44:17
6410000,641000000520050001,2005-11-28,,영업/정상,,,,,4716.85,,,농업회사법인 주식회사 경기엘피씨,I,L00,2025-12-15 16:15:28,경기도 연천군 군남면 황남로 70-57,정상,0000,01,0318331600,,, ,0,도축업,,2022-01-24 13:55:02
6410000,641000000520130001,2013-05-30,,영업/정상,,,,,669.36,,,영농조합법인 김포축산,I,L00,2026-01-12 09:41:07,경기도 김포시 대곶면 대곶로 429-19 (외 1필지),정상,0000,01,0319961561,,,경기도 김포시 대곶면 석정리 1030번지 외 1필지 ,25,도축업,,2026-01-05 13:14:30
6410000,641000000520190001,2019-07-12,,영업/정상,,,,2022-03-28,186.06,,,농업회사법인 (주)조아라한방토종닭,I,L00,2025-12-15 16:15:28,경기도 안성시 삼죽면 진촌진말길 29,정상,0000,01,0316724105,,,경기도 안성시 삼죽면 진촌리 511번지 2호 ,4,도축업,,2022-03-19 09:16:01
6410000,641000000520180001,2018-03-14,,폐업,2024-03-13,,,,31.31,,,한국축산혁신협동조합,I,L00,2025-12-15 16:15:28,"경기도 성남시 중원구 둔촌대로 79, 1층 (성남동)",폐업,0002,03,0317534400,,,경기도 성남시 중원구 성남동  4190번지 0호 ,5,도축업,,2024-03-28 09:03:03
6430000,643000000520050001,2005-09-26,,폐업,2011-12-30,,,,1929.36,368-906,,동일산업사,I,000,2025-12-15 16:15:28,충청북도 증평군 증평읍 중부로 2236-7,폐업,0002,03,0438382011,250106.172680058    ,365035.958258325    ,충청북도 증평군 증평읍 연탄리 335번지 1호 ,28,도축업,,2013-12-22 11:38:21
6430000,643000000520140001,2014-10-10,,휴업,,2024-01-01,2029-12-31,,181.7,,,동제천염소도축장,I,000,2025-12-15 16:15:28,충청북도 제천시 송학로 360,휴업,0001,02,,,,충청북도 제천시 송학면 시곡리 870번지 11호 ,0,도축업,,2023-12-26 16:39:59
6430000,643000000520060006,2006-08-14,,휴업,,2025-12-01,2026-11-30,,1579.83,390-160,,(주)부농산업,I,L00,2025-12-15 16:15:28,충청북도 제천시 강명길 73 (강제동),휴업,0001,02,0436529972,307411.36004022     ,402229.10776355     ,충청북도 제천시 강제동  419번지 3호 ,23,도축업,,2025-11-20 15:47:59
6430000,643000000520060002,2006-01-11,,휴업,,2023-07-18,,,4081.32,380-210,,(주)청솔위드팜,I,L00,2025-12-15 16:15:28,충청북도 충주시 하용두3길 73 (용두동),휴업,0001,02,0438579755,279232.217059607    ,385131.719807759    ,충청북도 충주시 용두동  291번지 1호 ,58,도축업,,2023-07-14 11:32:39
6430000,643000000520050005,2005-12-12,,휴업,,2024-09-01,,,6242.73,380-871,,(주)씨.에스코리아,I,L00,2025-12-15 16:15:28,충청북도 충주시 완오길 232,휴업,0001,02,0438579755,,,충청북도 충주시 대소원면 완오리 683번지 ,38,도축업,,2024-08-29 13:37:32
6430000,643000000520030001,2003-09-26,,영업/정상,,,,2024-07-27,1114.41,365-823,,농업회사법인 주식회사 들녁(진천공장),U,L00,2026-01-17 21:00:40,충청북도 진천군 이월면 장수로 349,정상,0000,01,0435329944,,,충청북도 진천군 이월면 사곡리 892번지 ,0,도축업,,2026-01-16 09:35:52
6430000,643000000520130001,2013-12-02,,영업/정상,,,,,187.51,,,제천염소도축장,I,000,2025-12-15 16:15:28,충청북도 제천시 청풍호로20길 31 (산곡동),정상,0000,01,0436450745,306413.054983533    ,399884.500821897    ,충청북도 제천시 산곡동  418번지 2호 ,0,도축업,,2021-12-01 17:30:14
6430000,643000000520100001,2010-11-26,,영업/정상,,,,,28982.5,369-834,,농협경제지주주식회사 음성축산물공판장,I,L00,2025-12-15 16:15:28,충청북도 음성군 삼성면 청용로 183-9,정상,0000,01,0438807100,,,충청북도 음성군 삼성면 상곡리 781번지 ,434,도축업,,2025-03-21 09:48:13
6430000,643000000520060008,2006-09-26,,영업/정상,,,,,6028.31,369-824,,(주)모란식품,I,L00,2025-12-15 16:15:28,충청북도 음성군 대소면 대금로105번길 106,정상,0000,01,0438825233,241627.332484478    ,387440.646800569    ,충청북도 음성군 대소면 오류리 534번지 39호 ,62,도축업,,2020-08-31 11:28:47
6430000,643000000520060007,1998-08-05,,영업/정상,,,,,9213,365-822,,(주)체리부로,I,L00,2025-12-15 16:15:28,충청북도 진천군 이월면 생거진천로 1770,정상,0000,01,0435303200,240120.939307916    ,377848.223960822    ,충청북도 진천군 이월면 중산리산10번지 1호 ,294,도축업,,2025-05-07 15:06:36
6430000,643000000520080001,2008-06-24,,폐업,2016-06-09,,,,,390-813,,제천건보실업,I,000,2025-12-15 16:15:28,충청북도 제천시 송학면 송학로 362-1,폐업,0002,03,0436454965,,,충청북도 제천시 송학면 시곡리 869번지 ,0,도축업,,2016-06-09 18:22:10
6430000,643000000520060004,2006-04-11,,영업/정상,,,,,9512.5,369-906,,(주)농협목우촌,I,L00,2025-12-15 16:15:28,충청북도 음성군 금왕읍 대금로1278번길 81,정상,0000,01,0438790063,,,충청북도 음성군 금왕읍 오선리 526번지 ,116,도축업,,2025-03-04 18:00:35
6430000,643000000520060003,1994-12-08,,영업/정상,,,,,13751.9,363-882,,(주)팜스토리한냉,I,L00,2025-12-15 16:15:28,충청북도 청원군 오창읍 성재2길 21,정상,0000,01,0432127721,,, 421번지 3호 ,239,도축업,,2022-07-19 14:14:21
6430000,643000000520060001,1998-08-05,,영업/정상,,,,,3395.66,373-843,,한우영농조합법인맥우,I,L00,2025-12-15 16:15:28,충청북도 옥천군 군서면 성왕로 991,정상,0000,01,,249435.978172998    ,311970.247103742    ,충청북도 옥천군 군서면 월전리 35번지 5호 ,0,도축업,,2025-02-19 11:07:37
6430000,643000000520050006,2005-06-24,,영업/정상,,,,,224.54,380-200,,예성실업,I,000,2025-12-15 16:15:28,충청북도 충주시 중원대로 3749 (용관동),정상,0000,01,0438477901,279149.305086283    ,384600.586669123    ,충청북도 충주시 용관동  12번지 9호 ,0,도축업,,2023-03-15 09:19:57
6430000,643000000520050004,2005-12-05,,영업/정상,,,,,2810.59,380-210,,대성실업(주),I,L00,2025-12-15 16:15:28,충청북도 충주시 하용두5길 45 (용두동),정상,0000,01,0438533233,279273.013035153    ,385199.061098999    ,충청북도 충주시 용두동  292번지 1호 ,65,도축업,,2022-04-22 20:07:58
6430000,643000000520050003,2000-04-10,,영업/정상,,,,,5387.55,390-871,,(주)박달재엘피씨(LPC),I,L00,2025-12-15 16:15:28,충청북도 제천시 봉양읍 의암로 19,정상,0000,01,0436422000,296887.706941475    ,403790.10566067     ,충청북도 제천시 봉양읍 연박리 1315번지 1호 ,48,도축업,,2019-09-05 12:55:30
6430000,643000000520050002,1995-10-17,,영업/정상,,,,,5706.76,380-882,,(주)충남에프앤비 충주공장,I,L00,2025-12-15 16:15:28,충청북도 충주시 주덕읍 후삼로 541,정상,0000,01,0438510011,,,충청북도 충주시 주덕읍 삼청리 379번지 ,0,도축업,,2024-12-30 13:19:35
6430000,643000000520030002,2003-01-15,,영업/정상,,,,,3549,365-834,,농업회사법인(주)주원산오리,I,L00,2025-12-15 16:15:28,충청북도 진천군 광혜원면 진광로 941-5,정상,0000,01,0435306310,237682.155239007    ,382587.821801077    ,충청북도 진천군 광혜원면 죽현리 179번지 2호 ,0,도축업,,2019-06-07 08:27:45
6430000,643000000520000001,2000-05-16,,영업/정상,,,,,637,360-220,,충청산업,I,000,2025-12-15 16:15:28,"충청북도 청주시 청원구 토성로120번길 84-13, 1동 1동 (사천동)",정상,0000,01,0432167500,,,충청북도 청주시 청원구 사천동  607번지 15호 1동 1동 ,16,도축업,,2025-11-28 08:50:43
6430000,643000000519900001,1990-07-20,,영업/정상,,,,,2789.56,390-180,,금보식품,U,L00,2026-01-31 21:00:40,충청북도 제천시 청풍호로19안길 65 (산곡동),정상,0000,01,0436451712,,,충청북도 제천시 산곡동  64번지 ,35,도축업,,2026-01-30 18:55:49
6430000,643000000519850001,1985-07-31,,영업/정상,,,,,4184.53,369-834,,(주)팜스코,I,L00,2025-12-15 16:15:28,충청북도 음성군 삼성면 대청로 54,정상,0000,01,0435353412,240433.034667169    ,387972.085349946    ,충청북도 음성군 삼성면 청용리 575번지 1호 ,200,도축업,,2024-01-22 11:45:41
6430000,643000000519730001,1973-06-01,,영업/정상,,,,,3738.62,361-540,,동아식품(주),I,L00,2025-12-15 16:15:28,충청북도 청주시 흥덕구 사운로 391-1 (송절동),정상,0000,01,0432636777,,,충청북도 청주시 흥덕구 송절동  89번지 ,0,도축업,,2025-02-19 10:58:05
6430000,643000000520060005,2002-08-01,,영업/정상,,,,,1570.44,369-831,,(주)대산푸드,I,L00,2025-12-15 16:15:28,충청북도 음성군 삼성면 금율로 349-36,정상,0000,01,0438785858,247530.143542177    ,392742.387139052    ,충청북도 음성군 삼성면 능산리 172번지 4호 ,25,도축업,,2022-07-29 15:21:10
6440000,644000000519820001,1982-12-10,,영업/정상,,,,,3114.22,340-905,,중앙산업 도축장,I,000,2025-12-15 16:15:28,충청남도 예산군 삽교읍 윤봉길로 1674,정상,0000,01,0413381757,177984.611866758    ,354054.260533485    ,충청남도 예산군 삽교읍 방아리 150번지 19호 ,0,도축업,,2025-08-12 16:50:32
6440000,644000000519820003,1982-02-05,,영업/정상,,,,,2647,314-813,,백제나루 영농조합법인,I,L00,2025-12-15 16:15:28,충청남도 공주시 의당면 의당로 216,정상,0000,01,0418527933,,,충청남도 공주시 의당면 청룡리 910번지 ,0,도축업,,2021-09-29 18:24:32
6440000,644000000519820004,1982-04-14,,영업/정상,,,,,2211.15,320-090,,화정식품,I,000,2025-12-15 16:15:28,충청남도 논산시 지산2길 5 (지산동),정상,0000,01,0417323003,210605.210313257    ,300279.820321195    ,충청남도 논산시 지산동  501번지 15호 ,0,도축업,,2019-05-22 19:22:34
6440000,644000000519840001,1984-06-04,,영업/정상,,,,,3593.31,330-811,,사조산업(주),I,L00,2025-12-15 16:15:28,충청남도 천안시 서북구 직산읍 성진로 378,정상,0000,01,0415810011,,, 137-9번지 ,0,도축업,,2025-05-15 18:09:08
6440000,644000000519850001,1985-06-15,,영업/정상,,,,,3054.87,356-984,,주식회사 광축,I,000,2025-12-15 16:15:28,충청남도 서산시 팔봉면 팔봉1로 115,정상,0000,01,0416691635,,,충청남도 서산시 팔봉면 어송리 805번지 ,0,도축업,,2024-09-04 11:16:07
6440000,644000000519850004,1985-03-21,,영업/정상,,,,2021-03-22,16204.7,340-911,,(주)티와이,I,L00,2025-12-15 16:15:28,충청남도 예산군 오가면 원천길 27-7,정상,0000,01,,180963.124805554    ,355590.054397197    ,충청남도 예산군 오가면 원천리 894번지 12호 ,104,도축업,,2021-06-15 09:05:18
6440000,644000000519860001,1986-11-28,,영업/정상,,,,,12087.1,356-812,,농업회사법인(주)신우에프에스,I,L00,2025-12-15 16:15:28,충청남도 서산시 고북면 고북1로 343-22,정상,0000,01,0416637250,,,충청남도 서산시 고북면 기포리 137-5번지 ,0,도축업,,2024-11-15 17:34:20
6440000,644000000519890001,1989-06-15,,영업/정상,,,,,8541.09,320-838,,논산계룡축산업협동조합 축산물유통센터,I,L00,2025-12-15 16:15:28,충청남도 논산시 연무읍 신화길 35-14,정상,0000,01,0417423223,,,충청남도 논산시 연무읍 안심리 698-3번지 ,0,도축업,,2023-04-03 15:16:23
6440000,644000000519900001,1990-09-10,,영업/정상,,,,,2986.41,336-832,,(주)들녘,I,L00,2025-12-15 16:15:28,충청남도 아산시 인주면 아산호로 23-46,정상,0000,01,0415413134,,,충청남도 아산시 인주면 공세리 68-5번지 ,0,도축업,,2022-04-29 12:37:48
6440000,644000000519910002,1991-05-02,,영업/정상,,,,,3952.05,355-844,,금화식품(주) 보령공장,I,000,2025-12-15 16:15:28,충청남도 보령시 오천면 오천해안로 296,정상,0000,01,0419328680,,,충청남도 보령시 오천면 영보리 307번지 ,0,도축업,,2021-07-16 09:03:27
6440000,644000000519920001,1992-05-06,,영업/정상,,,,,12388.98,330-872,,(주)마니커 천안지점,I,L00,2025-12-15 16:15:28,충청남도 천안시 동남구 동면 화복로 551,정상,0000,01,0415696000,236305.567791764    ,362794.786604209    ,충청남도 천안시 동남구 동면 화덕리 319번지 6호 ,0,도축업,,2025-04-10 11:18:49
6440000,644000000519980001,1998-12-16,,영업/정상,,,,,5556.79,323-961,,주식회사 대오,I,L00,2025-12-15 16:15:28,충청남도 부여군 초촌면 금백로 1007,정상,0000,01,0418327900,,,충청남도 부여군 초촌면 세탑리 14-18번지 ,0,도축업,,2024-09-03 10:38:01
6440000,644000000520020001,2002-04-30,,영업/정상,,,,,9294.56,350-904,,(주)홍주미트,I,000,2025-12-15 16:15:28,충청남도 홍성군 광천읍 홍남로 578-46,정상,0000,01,0416307009,,,충청남도 홍성군 광천읍 상정리 539번지 ,0,도축업,,2024-06-21 17:44:56
6440000,644000000520070001,2007-09-28,,영업/정상,,,,,862.82,330-882,,산성식품,I,000,2025-12-15 16:15:28,충청남도 천안시 동남구 병천면 송정리3길 21-165,정상,0000,01,0415660211,,,충청남도 천안시 동남구 병천면 송정리 219번지 1호 ,0,도축업,,2023-05-23 09:45:27
6440000,644000000520150001,2015-09-21,,영업/정상,,,,,3485.14,,,주식회사 한국육계유통,I,L00,2025-12-15 16:15:28,충청남도 당진시 송악읍 송악로 625-1,정상,0000,01,0413589908,,,충청남도 당진시 송악읍 중흥리 358번지 ,0,도축업,,2023-05-24 16:22:52
6440000,644000000520190001,2019-12-13,,영업/정상,,,,,20685.84,,,대전충남양돈농협 포크빌 축산물공판장,I,L00,2025-12-15 16:15:28,충청남도 천안시 동남구 성남면 5산단1로 81,정상,0000,01,0415805099,,,충청남도 천안시 동남구 성남면 대화리 317번지 0호 ,200,도축업,,2023-06-22 07:16:33
6440000,644000000520240001,2024-04-19,,영업/정상,,,,,175.92,,,농업회사법인 모아모아 토종닭(주),I,L00,2025-12-15 16:15:28,충청남도 서산시 성연면 솔예로 344-3,정상,0000,01,,,,충청남도 서산시 성연면 예덕리 869번지 1호 ,0,도축업,,2024-04-19 13:36:30
6440000,644000000519830001,1983-01-31,,휴업,,2026-02-02,2028-02-01,,4177,323-832,,주식회사 동방식품산업,U,L00,2026-01-31 21:00:40,충청남도 부여군 구룡면 흥수로 16,휴업,0001,02,0418378870,182448.471510842    ,304147.64039124     ,충청남도 부여군 구룡면 동방리 684번지 3호 ,0,도축업,,2026-01-30 17:10:44
6440000,644000000519730001,1973-02-19,,폐업,2009-09-09,,,,2556.2,343-806,,당축산업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,, 359번지 ,0,도축업,,2009-09-10 08:21:45
