개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,축산물가공업구분명,축산업무구분명,축산일련번호,최종수정시점
3910000,391000000219940001,1990-05-10,,폐업,2004-08-31,,,,10220,451-832,,삼미농장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 평택시 청북면 옥길리 ***-* ,종계업,종축업,17,2004-09-01 09:46:47
3910000,391000000220150002,2015-08-20,,폐업,2020-07-20,,,,,451-832,17794,농업회사법인 히즈팜 주식회사,종계업,I,L00,2025-12-15 16:15:28,경기도 평택시 청북면 청북중앙로 ***-**,폐업,0002,03,07046331966,,,경기도 평택시 청북면 고잔리 **** ,종계업,종축업,1139,2020-07-20 13:20:35
3910000,391000000220120002,2012-11-23,,폐업,2021-11-01,,,,,,17814,에이원축산,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 포승읍 원석정용소길 **-**,폐업,0002,03,,,,경기도 평택시 포승읍 석정리 *** 외 *필지(***번지) ,종계업,종축업,1003,2021-11-03 14:09:20
3910000,391000000220120001,2012-07-24,,폐업,2021-09-24,,,,,451-803,,성호종오리농장,종오리업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,206539.431555033    ,382166.384662951    ,경기도 평택시 팽성읍 대사리 **-* 외*필지 ,종오리업,종축업,989,2021-09-24 17:15:31
3910000,391000000220110001,2011-03-14,,폐업,2016-08-04,,,,0,451-873,,안화리 육성장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 오성면 서동대로 **** (외 *필지),폐업,0002,03,,199248.304524816    ,390084.684565286    ,경기도 평택시 오성면 안화리 ***-* 외 *필지 ,종계업,종축업,952,2016-08-04 15:09:27
3910000,391000000220080001,2008-02-18,,폐업,2008-12-09,,,,0,451-805,,강진종돈장,종돈업,I,000,2025-12-15 16:15:28,경기도 평택시 팽성읍 노와길 ***,폐업,0002,03,,208359.745975142    ,383434.845166156    ,경기도 평택시 팽성읍 노와리 ***-* ,종돈업,종축업,789,2008-12-09 09:42:08
3910000,391000000219920001,1992-06-24,,폐업,2010-05-26,,,,2484,451-872,,양교농장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 평택시 오성면 양교리 ***-* ,종계업,종축업,15,2010-05-26 11:35:47
3910000,391000000219930001,1986-06-25,,폐업,2017-07-14,,,,8898,451-843,,강남농장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 고덕동 고덕*로**번길 ***,폐업,0002,03,,,,경기도 평택시 고덕동 ***-* ,종계업,종축업,16,2017-07-14 11:08:01
3910000,391000000219950001,1995-01-28,,폐업,2017-07-04,,,,6105,451-843,,경북종돈,종돈업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 평택시 고덕동 ***-* ,종돈업,종축업,18,2017-07-04 17:37:05
3910000,391000000219970001,1997-03-25,,폐업,2016-02-11,,,,2360,451-843,,유송바이오,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 고덕면 고덕로 **-**,폐업,0002,03,,202072.717917914    ,391496.788161981    ,경기도 평택시 고덕면 해창리 ***-* ,종계업,종축업,19,2016-02-11 17:59:51
3910000,391000000220040001,2004-04-01,,폐업,2009-01-22,,,,0,451-871,,신리농장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 오성면 신*리길 **-**,폐업,0002,03,,201922.215172896    ,389221.002468107    ,경기도 평택시 오성면 신리 **-* ,종계업,종축업,2,2009-01-22 09:27:39
3910000,391000000220040002,2004-07-09,,폐업,2022-06-13,,,,0,451-824,,경훈종계장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 포승읍 원석정용소길 **,폐업,0002,03,,,,경기도 평택시 포승읍 석정리 *** ,종계업,종축업,39,2022-06-13 13:46:30
3910000,391000000220040003,2004-09-06,,폐업,2010-05-26,,,,0,451-872,,수원농장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 오성면 길음*길 **-*,폐업,0002,03,,197060.690298925    ,387551.24969775     ,경기도 평택시 오성면 길음리 ***-** ,종계업,종축업,46,2010-05-26 11:33:21
3910000,391000000220040004,2004-12-23,,폐업,2023-01-20,,,,0,451-824,,서준농장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 포승읍 원석정용소길 **-**,폐업,0002,03,,190090.53272214     ,388436.162916648    ,경기도 평택시 포승읍 석정리 ***-* ,종계업,종축업,105,2023-01-20 09:31:46
3910000,391000000220040005,2004-12-23,,폐업,2007-02-08,,,,0,451-832,,부성축산(1),종계업,I,000,2025-12-15 16:15:28,경기도 평택시 청북면 현곡길 **-**,폐업,0002,03,,,,경기도 평택시 청북면 삼계리 ** ,종계업,종축업,106,2007-02-08 18:04:03
3910000,391000000220050001,2005-03-11,,폐업,2024-11-28,,,,0,451-822,,도곡농장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 포승읍 한유지길 **-*,폐업,0002,03,,188821.838620016    ,387802.666506547    ,경기도 평택시 포승읍 도곡리 *-* ,종계업,종축업,126,2024-11-07 16:12:32
3910000,391000000220050002,2005-11-04,,폐업,2015-10-31,,,,0,451-842,,우리종돈장,종돈업,I,000,2025-12-15 16:15:28,경기도 평택시 고덕면 문곡*길 ***,폐업,0002,03,,200356.325365148    ,396593.006695659    ,경기도 평택시 고덕면 문곡리 **-* ,종돈업,종축업,702,2015-11-02 17:21:51
3910000,391000000220050003,2005-11-04,,폐업,2009-02-20,,,,0,451-833,,유안농장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 청북면 원율북로 ***,폐업,0002,03,,,,경기도 평택시 청북면 한산리 ***-** ,종계업,종축업,703,2009-02-24 18:00:22
3910000,391000000220070001,2007-03-23,,폐업,2009-09-30,,,,0,451-832,,구구청북농장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 청북면 현곡길 **-**,폐업,0002,03,,,,경기도 평택시 청북면 삼계리 **-* ,종계업,종축업,749,2009-09-30 17:15:00
3920000,392000000220140001,2014-07-22,,폐업,2015-09-18,,,,,483-120,,진원농장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 동두천시 상패동 *** ,종계업,종축업,125,2015-09-18 09:55:57
3920000,392000000220120001,2012-09-19,,폐업,2017-04-25,,,,,483-120,11341,계룡농장,종계업,I,000,2025-12-15 16:15:28,경기도 동두천시 삼육사로***번길 ** (상패동),폐업,0002,03,,,,경기도 동두천시 상패동 **** ,종계업,종축업,111,2017-04-25 16:58:31
3920000,392000000220160001,2016-05-26,,폐업,2016-12-26,,,,,,11341,털보농장,종계업,I,000,2025-12-15 16:15:28,경기도 동두천시  삼육사로***번길  ***-** (상패동),폐업,0002,03,,,,*** ,종계업,종축업,130,2016-12-26 17:12:19
3920000,392000000220180001,2018-05-03,,영업/정상,,,,,,,11341,계룡농장,종계업,I,000,2025-12-15 16:15:28,경기도 동두천시 삼육사로***번길 ** (상패동),정상,0000,01,,,,경기도 동두천시 상패동 **** ,종계업,종축업,137,2022-08-05 09:10:54
3940000,394000000220040001,2004-12-30,,폐업,2018-07-17,,,,0,411-550,10245,충청농장,종계업,I,000,2025-12-15 16:15:28,경기도 고양시 일산동구 탑삭골길 ***-* (설문동),폐업,0002,03,0319170047,,,경기도 고양시 일산동구 설문동 산 **-* ,종계업,종축업,32,2018-07-17 10:58:43
3990000,399000000219940001,1994-09-09,,폐업,2004-07-31,,,,5479,472-812,,한협육종(주),종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,0315278100,,,경기도 남양주시 별내동 ***-* ,종계업,종축업,14,2004-07-31 11:34:52
4000000,400000000220020001,2002-08-30,,휴업,,2025-04-07,2026-04-06,,4299,,18124,육성농장,종계업,I,000,2025-12-15 16:15:28,"경기도 오산시 가장로 ***-** (가장동, 한일농원)",휴업,0001,02,,203842.530971524    ,406381.348859978    ,경기도 오산시 가장동 ***-* ,종계업,종축업,32,2025-03-28 14:56:10
4000000,400000000219960001,1996-06-14,,폐업,2004-01-30,,,,8226,,,(주)한일농원,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 오산시 가장동 **-* ,종계업,종축업,,2004-01-30 13:11:47
4000000,400000000220140001,2014-06-27,,폐업,2024-07-05,,,,,,18104,명보농장,종계업,I,000,2025-12-15 16:15:28,경기도 오산시 벌음*길 ** (서동),폐업,0002,03,,,,경기도 오산시 서동 *** ,종계업,종축업,46,2024-07-08 09:52:19
4000000,400000000220070001,2007-09-13,,폐업,2010-11-01,,,,0,447-200,,주식회사 한일팜스 종돈장,종돈업,I,L00,2025-12-15 16:15:28,,폐업,0002,03,,204008.804957713    ,405866.180260722    ,경기도 오산시 서동 **-* ,종돈업,종축업,38,2010-11-01 19:20:22
4000000,400000000220050001,2005-09-29,,폐업,2019-03-26,,,,0,447-200,,명보 농장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,0313731811,,,경기도 오산시 서동 *** ,종계업,종축업,35,2019-03-29 13:19:52
4050000,405000000219980001,1998-03-13,,영업/정상,,,,,2681,449-864,,송원농장,종계업,I,000,2025-12-15 16:15:28,,정상,0000,01,,,,경기도 용인시 처인구 백암면 장평리 **** ,종계업,종축업,18,2009-01-16 16:20:56
4050000,405000000220030001,2003-03-17,,영업/정상,,,,,5019,,17182,농업회사법인 주식회사 안성 백암지점,종계업,I,L00,2025-12-15 16:15:28,경기도 용인시 처인구 백암면 황새울로***번길 **,정상,0000,01,,232109.045863541    ,401752.191619001    ,경기도 용인시 처인구 백암면 석천리 ***-* ,종계업,종축업,19,2025-10-20 17:56:02
4050000,562000000220090001,2009-11-03,,영업/정상,,,,,0,449-882,17118,경기도축산진흥센터,종돈업,I,L00,2025-12-15 16:15:28,경기도 용인시 처인구 남사읍 천덕산로**번길 ***,정상,0000,01,0313226046,210406.862916647    ,402805.623082486    ,경기도 용인시 처인구 남사읍 봉명리 ***-* ,종돈업,종축업,700,2025-09-17 14:09:54
4050000,562000000220090002,2009-12-03,,영업/정상,,,,,0,449-873,,명바위농산,종오리업,I,000,2025-12-15 16:15:28,,정상,0000,01,,226855.345758226    ,405742.239861565    ,경기도 용인시 처인구 원삼면 문촌리 **-* 외*필지(**) ,종오리업,종축업,702,2021-07-20 13:35:20
4050000,562000000220100001,2010-09-07,,영업/정상,,,,,0,449-861,,도승농장,종계업,I,000,2025-12-15 16:15:28,,정상,0000,01,,235172.315210776    ,406966.585313175    ,경기도 용인시 처인구 백암면 박곡리 ***-* ,종계업,종축업,718,2025-11-09 05:45:01
4050000,562000000220140001,2014-12-23,,휴업,,2025-09-24,2028-12-31,,,449-882,17118,경기도축산진흥센터,종계업,I,L00,2025-12-15 16:15:28,경기도 용인시 처인구 남사읍 천덕산로**번길 ***,휴업,0001,02,03180086395,210406.862916647    ,402805.623082486    ,경기도 용인시 처인구 남사읍 봉명리 ***-* ,종계업,종축업,806,2025-09-24 11:34:29
4050000,405000000219990001,1999-10-12,,폐업,2010-01-29,,,,2477,449-831,,금수농장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 용인시 처인구 이동면 시미리 ** ,종계업,종축업,16,2010-02-01 13:49:51
4050000,562000000220060001,2006-07-19,,폐업,2025-04-28,,,,0,449-863,17183,용인유전자영농조합법인,종돈업,I,L00,2025-12-15 16:15:28,경기도 용인시 처인구 백암면 옥산로***번길 **,폐업,0002,03,0313393370,237052.655058183    ,401255.93164512     ,경기도 용인시 처인구 백암면 옥산리 ***-* ,종돈업,종축업,617,2025-04-28 13:11:52
4050000,562000000220110001,2011-07-15,,폐업,2016-11-02,,,,,449-863,,용인종축,종돈업,I,L00,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 용인시 처인구 백암면 옥산리 *** 외 *필지(***-*) ,종돈업,종축업,739,2016-11-02 10:30:31
4050000,562000000220110002,2011-12-09,,폐업,2014-02-21,,,,,449-860,17182,박석종돈장,종돈업,I,000,2025-12-15 16:15:28,경기도 용인시 처인구 백암면 황새울로 **-*,폐업,0002,03,,,,경기도 용인시 처인구 백암면 석천리 ***-* ,종돈업,종축업,745,2014-02-21 15:21:55
4050000,405000000219940001,1994-09-23,,영업/정상,,,,,5019,,17183,구일농장,종계업,I,000,2025-12-15 16:15:28,경기도 용인시 처인구 백암면 옥이내로**번길 **-**,정상,0000,01,,,,경기도 용인시 처인구 백암면 옥산리 **** ,종계업,종축업,15,2025-11-11 11:32:01
4050000,405000000219960001,1996-01-29,,영업/정상,,,,,6605,449-881,17123,태영농장,종계업,I,000,2025-12-15 16:15:28,경기도 용인시 처인구 남사읍 전원로 ***,정상,0000,01,,,,경기도 용인시 처인구 남사읍 방아리 *** ,종계업,종축업,20,2019-02-22 16:08:27
4050000,405000000219970001,1997-05-30,,영업/정상,,,,,3250,,17183,윤희네농장,종계업,I,000,2025-12-15 16:15:28,경기도 용인시 처인구 백암면 옥이내로**번길 **,정상,0000,01,,235246.777371601    ,401419.920599878    ,경기도 용인시 처인구 백암면 옥산리 ****-* ,종계업,종축업,17,2025-12-08 15:21:18
4060000,406000000220030002,2003-04-14,,영업/정상,,,,,0,,10804,파주종계장,종계업,I,000,2025-12-15 16:15:28,경기도 파주시 적성면 산덕골길 ***,정상,0000,01,,,,경기도 파주시 적성면 장현리 *** ,종계업,종축업,54,2025-11-17 14:10:38
4060000,406000000220040001,2004-04-22,,영업/정상,,,,,0,,10801,소래축산,종계업,I,000,2025-12-15 16:15:28,경기도 파주시 파평면 청송로***번길 **-***,정상,0000,01,,,,"경기도 파주시 파평면 덕천리 ** 외 *필지(**-*, **-*, **-*, **-*, **-*) ",종계업,종축업,39,2023-10-06 10:06:55
4060000,406000000220110001,2011-05-14,,취소/말소/만료/정지/중지,,,,,,413-903,,만나농장,종돈업,I,000,2025-12-15 16:15:28,,말소,0004,04,,,,경기도 파주시 문산읍 마정리 *** ,종돈업,종축업,1192,2011-05-25 09:16:13
4060000,406000000220110003,2011-11-16,,폐업,2018-12-27,,,,,413-903,,만나농장,종돈업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 파주시 문산읍 마정리 *** ,종돈업,종축업,1210,2018-12-27 10:12:26
4060000,406000000220110002,2011-09-07,,폐업,2016-06-27,,,,,413-831,10863,수향농장,종돈업,I,000,2025-12-15 16:15:28,경기도 파주시 청룡두길 ***-** (연다산동),폐업,0002,03,,174681.181164529    ,470988.848988481    ,경기도 파주시 연다산동 **-** ,종돈업,종축업,1200,2016-06-27 11:06:29
4060000,406000000220030003,2003-04-22,,폐업,2004-04-23,,,,0,413-855,,소래축산,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 파주시 광탄면 용미리 *** ,종계업,종축업,40,2004-04-25 14:00:13
4060000,406000000220030004,2003-04-22,,폐업,2023-03-14,,,,0,413-913,,덕영종돈장,종돈업,I,000,2025-12-15 16:15:28,,폐업,0002,03,0319594514,191979.469888006    ,495005.757553135    ,경기도 파주시 적성면 마지리 ***-* ,종돈업,종축업,1,2023-03-14 10:28:27
4060000,406000000220100001,2010-11-02,,폐업,2014-01-27,,,,0,413-836,,소래축산,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,0319642147,180833.728727802    ,468624.219793575    ,경기도 파주시 상지석동 ***-* ,종계업,종축업,1166,2014-01-27 18:34:41
4060000,406000000220030001,2003-04-14,,폐업,2004-05-03,,,,0,413-832,,임한종계장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 파주시 다율동 ** ,종계업,종축업,57,2004-05-03 15:53:03
4070000,407000000219850001,1985-05-01,,영업/정상,,,,,3942.58,467-850,17341,대월청안GP,종돈업,I,000,2025-12-15 16:15:28,경기도 이천시 대월면 대산로 ***-**,정상,0000,01,,242634.196481087    ,414923.79279183     ,경기도 이천시 대월면 대흥리 ***-* ,종돈업,종축업,4,2022-05-11 15:39:04
4070000,407000000220130004,2013-11-11,,폐업,2020-01-17,,,,,,17385,솔잎농장,종오리업,I,000,2025-12-15 16:15:28,경기도 이천시 마장면 이장로 ***-**,폐업,0002,03,,,,경기도 이천시 마장면 이치리 *** ,종오리업,종축업,1243,2020-01-17 18:11:26
4070000,407000000219960002,1996-01-29,,영업/정상,,,,,0,,17310,동원종계장,종계업,I,000,2025-12-15 16:15:28,경기도 이천시 백사면 원적로***번길 ***,정상,0000,01,0316386537,240436.201799419    ,424280.594187653    ,경기도 이천시 백사면 신대리 ***-* ,종계업,종축업,8,2020-01-17 09:15:54
4070000,407000000219960003,1996-01-29,,영업/정상,,,,,0,,17310,이동종계장,종계업,I,000,2025-12-15 16:15:28,경기도 이천시 백사면 원적로***번길 ***,정상,0000,01,,240127.004195228    ,424353.397175185    ,"경기도 이천시 백사면 신대리 ***-* , ***-*, ***-*, ***-*, ***-* ",종계업,종축업,9,2025-06-10 10:29:30
4070000,407000000220020003,2002-07-11,,영업/정상,,,,,0,,17409,상봉농장,종계업,I,L00,2025-12-15 16:15:28,경기도 이천시 설성면 설가로***번길 ***-***,정상,0000,01,,244248.232841214    ,406367.002350032    ,경기도 이천시 설성면 상봉리 ***-* ,종계업,종축업,19,2017-04-11 14:49:52
4070000,407000000220040001,2004-09-10,,영업/정상,,,,,0,,17415,농업회사법인 한국양계티에스(주) 1종계장,종계업,I,L00,2025-12-15 16:15:28,경기도 이천시 장호원읍 어석로 ***,정상,0000,01,0316429989,252589.077799277    ,401119.175572012    ,경기도 이천시 장호원읍 어석리 **-* ,종계업,종축업,175,2021-07-09 13:43:58
4070000,407000000220080001,2008-10-14,,영업/정상,,,,,0,,17412,농업회사법인 조인팜스주식회사 이천지점,종계업,I,L00,2025-12-15 16:15:28,경기도 이천시 설성면 원설로***번길 **,정상,0000,01,0312807705,,,경기도 이천시 설성면 대죽리 *** ,종계업,종축업,1121,2024-03-13 09:48:39
4070000,407000000220120001,2012-11-16,,영업/정상,,,,,,,17414,태경축산,종계업,I,000,2025-12-15 16:15:28,경기도 이천시 장호원읍 이풍로***번길 **-***,정상,0000,01,,253510.823833706    ,405071.571858891    ,경기도 이천시 장호원읍 와현리 ***-** ,종계업,종축업,1218,2021-12-06 10:13:05
4070000,407000000220130003,2013-08-16,,영업/정상,,,,,,467-906,17414,호현농장,종계업,I,000,2025-12-15 16:15:28,경기도 이천시 장호원읍 이풍로***번길 **-**,정상,0000,01,,253771.4620684      ,405323.857830307    ,경기도 이천시 장호원읍 와현리 ***-* ,종계업,종축업,1237,2021-03-10 18:15:53
4070000,407000000220140001,2014-06-19,,영업/정상,,,,,,467-902,17414,강화농장,종계업,I,000,2025-12-15 16:15:28,경기도 이천시 장호원읍 이풍로***번길 ***,정상,0000,01,,254171.709308545    ,404968.991912791    ,경기도 이천시 장호원읍 풍계리 ***-** ,종계업,종축업,1282,2021-12-16 16:42:51
4070000,407000000220180001,2018-07-09,,영업/정상,,,,,,,17415,상진농장,종계업,U,L00,2026-01-17 21:33:40,경기도 이천시 장호원읍 경충대로***번길 ***-**,정상,0000,01,,251297.22117953     ,403948.177133307    ,경기도 이천시 장호원읍 선읍리 ***-* ,종계업,종축업,1367,2026-01-16 13:47:38
4070000,407000000220220001,2022-11-25,,영업/정상,,,,,,,17413,농업회사법인(주)원산종돈,종돈업,U,L00,2026-01-27 21:33:40,경기도 이천시 설성면 진상미로***번길 ***,정상,0000,01,,,,경기도 이천시 설성면 행죽리 *** ,종돈업,종축업,1443,2026-01-26 11:28:02
4070000,407000000220230001,2023-03-06,,영업/정상,,,,,,,17334,경기농장,종계업,I,000,2025-12-15 16:15:28,경기도 이천시 부발읍 황무로****번길 **,정상,0000,01,,245573.259538879    ,417832.185366811    ,경기도 이천시 부발읍 아미리 *-* ,종계업,종축업,1444,2023-03-06 13:58:36
4070000,407000000220240001,2024-02-02,,영업/정상,,,,,,,17413,농업회사법인 주식회사 에버그린팜,종계업,I,000,2025-12-15 16:15:28,경기도 이천시 설성면 설장로***번길 ***-***,정상,0000,01,,249248.409323216    ,402301.375115406    ,경기도 이천시 설성면 제요리 ***-* ,종계업,종축업,1451,2024-02-02 15:54:32
4070000,407000000219870001,1987-07-25,,폐업,2007-09-28,,,,0,467-900,,우화종계장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 이천시 장호원읍 진암리 *** ,종계업,종축업,7,2007-09-28 14:35:04
4070000,407000000219870002,1987-07-25,,폐업,2006-05-08,2004-08-10,2006-08-10,,0,467-040,,송정종계장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,239682.789231434    ,422010.57835544     ,경기도 이천시 송정동 **-* ,종계업,종축업,5,2006-05-08 14:45:13
4070000,407000000219960004,1996-05-28,,폐업,2017-03-02,,,,0,467-902,,창대종계장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,0316415344,254171.709308545    ,404968.991912791    ,경기도 이천시 장호원읍 풍계리 ***-** ,종계업,종축업,10,2017-03-07 08:58:49
4070000,407000000219960005,1996-12-14,,폐업,2020-02-10,,,,0,467-831,,한신종계장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 이천시 백사면 도립리 *** ,종계업,종축업,11,2021-06-29 14:48:48
4070000,407000000219980001,1998-09-21,,폐업,2014-03-20,,,,0,467-851,,대일종계장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 이천시 대월면 구시리 ** ,종계업,종축업,17,2014-03-20 11:19:17
4070000,407000000220000001,2000-04-04,,폐업,2010-10-20,,,,0,467-811,,솔잎종계장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 이천시 마장면 이치리 *** ,종계업,종축업,18,2010-10-20 10:09:46
4070000,407000000220020001,2002-12-16,,폐업,2007-01-30,,,,0,467-881,,대지영농조합법인,종돈업,I,L00,2025-12-15 16:15:28,,폐업,0002,03,,,,경기도 이천시 설성면 장능리 산 **-* ,종돈업,종축업,30,2007-01-30 11:15:36
